Latitude,Longitude,Altitude,Direction,Slope
-26.819173,27.827552,1487.0,0.0,0.0
-26.81827,27.829712,1488.0,64.9,0.00422
-26.816107,27.829975,1487.0,6.19,-0.00413
-26.814297,27.829643,1484.0,350.7,-0.01471
-26.812159,27.828632,1484.0,337.12,0.0
-26.810483,27.82779,1484.0,335.85,0.0
-26.807874,27.82866,1489.0,16.57,0.01652
-26.80615,27.829424,1490.0,21.58,0.00485
-26.804327,27.829714,1489.0,8.08,-0.00488
-26.802745,27.830867,1489.0,33.04,0.0
-26.800837,27.831464,1485.0,15.6,-0.01816
-26.799,27.831406,1483.0,358.39,-0.00979
-26.797135,27.830428,1481.0,334.92,-0.00873
-26.79494,27.829196,1477.0,333.39,-0.01465
-26.793333,27.82824,1475.0,332.03,-0.00989
-26.789822,27.82612,1472.0,331.67,-0.00676
-26.787874,27.824949,1469.0,331.78,-0.0122
-26.786049,27.824186,1471.0,339.53,0.00923
-26.784183,27.823993,1469.0,354.72,-0.0096
-26.781984,27.824131,1467.0,3.21,-0.00817
-26.77882,27.824349,1467.0,3.52,0.0
-26.776917,27.82448,1466.0,3.52,-0.00472
-26.773878,27.824695,1462.0,3.61,-0.01181
-26.770504,27.824933,1459.0,3.6,-0.00798
-26.768392,27.825089,1457.0,3.77,-0.0085
-26.766423,27.82511,1452.0,0.55,-0.02284
-26.762746,27.824856,1450.0,356.47,-0.00488
-26.760688,27.824745,1449.0,357.24,-0.00436
-26.758671,27.824814,1446.0,1.75,-0.01337
-26.755494,27.825262,1438.0,7.18,-0.02247
-26.751239,27.826,1419.0,8.8,-0.03968
-26.749438,27.826266,1429.0,7.51,0.04951
-26.747357,27.826405,1436.0,3.41,0.0302
-26.745228,27.825704,1438.0,343.61,0.00811
-26.743029,27.824687,1449.0,337.56,0.04158
-26.740937,27.8237,1458.0,337.15,0.03565
-26.738913,27.822918,1468.0,340.96,0.042
-26.736336,27.822365,1473.0,349.15,0.01714
-26.734041,27.821886,1472.0,349.44,-0.00385
-26.73163,27.821377,1474.0,349.32,0.00733
-26.729798,27.821004,1477.0,349.69,0.01449
-26.727706,27.820576,1479.0,349.64,0.00846
-26.724318,27.81988,1483.0,349.6,0.01044
-26.722234,27.81945,1485.0,349.56,0.00849
-26.720021,27.818726,1484.0,343.71,-0.0039
-26.71808,27.818346,1484.0,350.08,0.0
-26.715631,27.818037,1482.0,353.57,-0.0073
-26.713668,27.817479,1479.0,345.75,-0.01332
-26.711738,27.8168,1477.0,342.55,-0.00889
-26.709945,27.815819,1473.0,333.95,-0.01803
-26.707334,27.814158,1473.0,330.39,0.0
-26.705505,27.813252,1478.0,336.13,0.02248
-26.70391,27.812212,1484.0,329.78,0.02923
-26.70195,27.811057,1488.0,332.24,0.01624
-26.700126,27.809898,1489.0,330.42,0.00429
-26.697804,27.808439,1493.0,330.69,0.01351
-26.69619,27.807361,1492.0,329.18,-0.00478
-26.694601,27.80628,1493.0,328.71,0.00484
-26.691161,27.803832,1494.0,327.55,0.00221
-26.689592,27.802577,1495.0,324.45,0.00466
-26.687853,27.801339,1493.0,327.54,-0.00873
-26.685608,27.799707,1493.0,327.0,0.0
-26.682453,27.797351,1490.0,326.29,-0.00711
-26.680977,27.796194,1490.0,324.99,0.0
-26.678326,27.794273,1487.0,327.08,-0.00854
-26.676802,27.793156,1485.0,326.78,-0.00987
-26.673684,27.791042,1484.0,328.79,-0.00247
-26.67197,27.790086,1482.0,333.51,-0.00939
-26.668057,27.788283,1478.0,337.62,-0.0085
-26.666262,27.787457,1477.0,337.65,-0.00463
-26.664518,27.786676,1477.0,338.19,0.0
-26.660811,27.784963,1471.0,337.56,-0.01345
-26.658861,27.78408,1468.0,337.97,-0.01283
-26.656705,27.783091,1466.0,337.71,-0.00772
-26.653197,27.781489,1463.0,337.8,-0.00712
-26.650724,27.780371,1467.0,338.0,0.01349
-26.648274,27.779238,1471.0,337.54,0.01357
-26.645185,27.777842,1472.0,338.0,0.0027
-26.643015,27.776835,1473.0,337.47,0.00383
-26.64089,27.775878,1472.0,338.07,-0.00393
-26.638682,27.774864,1470.0,337.68,-0.00754
-26.636749,27.773979,1468.0,337.74,-0.00861
-26.635107,27.773148,1467.0,335.66,-0.00499
-26.633544,27.771919,1467.0,324.9,0.0
-26.632115,27.770262,1466.0,313.97,-0.00437
-26.630844,27.768792,1465.0,314.05,-0.00492
-26.628875,27.767769,1464.0,335.09,-0.00414
-26.626809,27.767791,1462.0,0.55,-0.00871
-26.625157,27.768631,1461.0,24.44,-0.00496
-26.623909,27.770134,1461.0,47.11,0.0
-26.623132,27.772416,1461.0,69.15,0.0
-26.622369,27.774316,1461.0,65.81,0.0
-26.62098,27.7761,1463.0,48.95,0.0085
-26.619493,27.777238,1462.0,34.38,-0.00499
-26.617589,27.778295,1461.0,26.4,-0.00423
-26.615117,27.779397,1461.0,21.73,0.0
-26.613328,27.780165,1459.0,21.0,-0.00939
-26.611489,27.780956,1458.0,21.03,-0.00456
-26.608947,27.782074,1456.0,21.47,-0.00658
-26.599938,27.785933,1462.0,20.96,0.00559
